feature,mean_abs_shap
ach_count_sent,0.95141774
ach_count_recv,0.7401034
hits_auth,0.6513423
in_degree,0.38289014
cheque_count_sent,0.31027684
vol_recv,0.28838345
average_neighbor_degree,0.23078589
degree,0.2257676
hits_hub,0.21858986
leiden_macro_modularity,0.1767155
successor_avg_volume,0.1759839
pr_count,0.1750925
egonet_node_count,0.16770387
vol_sent,0.16140161
cheque_count_recv,0.14897831
credit_card_count_sent,0.14813097
temporal_fan_in_count,0.14454441
tx_count,0.1170573
successor_max_volume,0.106230795
leiden_micro_size,0.10496934
k_core,0.09926956
egonet_total_weight,0.09503404
pr_vol_deep,0.086408064
betweenness,0.08484753
flow_ratio,0.083380654
leiden_macro_size,0.08178922
time_variance,0.07633099
credit_card_count_recv,0.07194125
pr_vol_shallow,0.0699307
cash_count_sent,0.06337965
distinct_currencies_sent,0.055528086
reinvestment_count_sent,0.051448442
temporal_fan_out_count,0.047675516
cash_count_recv,0.044010814
local_clustering_coefficient,0.030887244
wire_count_sent,0.030874176
egonet_density,0.029496787
out_degree,0.028402202
distinct_currencies_recv,0.022104442
leiden_micro_modularity,0.019741198
wire_count_recv,0.017996563
egonet_edge_count,0.017615303
reinvestment_count_recv,0.017311225
triangle_count,0.009390077
fan_in_count,0.006907107
cycle_count,0.005389452
bitcoin_count_sent,0.0024019126
fan_out_count,0.0013541314
bitcoin_count_recv,1.8384275e-05
